title,price,address
站前新銳2房車,22000元,青心路
站前新銳辦公室,25000元,青心路
青埔新潤君頤雙衛浴2房車,25000元,青商路
站前新銳辦公室,25000元,青心路
福州路停車用地(可作倉庫),18000元,桃園市中壢區中壢埔頂段
站前新銳三房車,28000元,青心路
新銳兩房車,24000元,青心路
中壢前站商辦,65000元,裕民街
高鐵站前2房車,28000元,青心路
專任招租-藍海帝國三房車,25000元,松勇一街
站前新銳兩房車,24000元,青心路
SOGO美套房A,6000元,慈惠三街
近內壢交流道裝潢三房車位,26000元,南園二路
可租屋補助內壢元智大學獨立套房獨立洗衣機有廚房,12500元,興仁路二段
A18高鐵站前特區景觀商辦,35000元,高鐵站前西路一段
A18高鐵站前新銳三房車位,30000元,青心路
~中壢車站超大坪數陽台套房~可當商辦,9500元,永樂路
火車站前電梯金店面,120000元,中正路
內壢全新廠辦園區C4,71400元,中園路
站前新銳微型商辦,23800元,青心路
鄰近青埔@月眉全新鐵皮208坪租19萬@地432坪,190000元,山佳二路
阿華-中壢火車站延平路中正公園SOGO新裝潢2+1,20000元,延平路
青埔高鐵站捷運站4房平面車位租屋補助,38000元,青溪路二段
內壢全新廠辦園區A4,72400元,中園路
內壢全新廠辦園區D4,66900元,中園路
內壢全新廠辦園區E4,60000元,中園路
A19青埔國中/三面採光三房+平車,28000元,民權路四段
高鐵站前三房車,33000元,青心路
【神馬】站前新銳邊間大3房車大棟距,31000元,青心路
中壢林森國小套房,9000元,林森路
❤子豪推薦❤近中壢國民運動中心精美套房,11000元,光輝街
內壢全新廠辦園區F4,55700元,中園路
近中壢運動園區貨梯廠房,118000元,龍興路
☆☆A18青埔新成屋三房平車★★,24000元,領航南路二段
A18站前新銳美裝潢2房車,25000元,青心路
內壢前站600公尺大空間透天,38000元,成功路
(全新)慶賀天璞4房平車華廈,30000元,松平路
近中原夜市套房Ｄ室,6500元,三和二街
站前新銳2房車,24000元,青心路
專任租-藍海帝國兩房車,21000元,松勇一街
內壢全新廠辦園區H4,70100元,中園路
近健行 中原 體育園區 套房,11000元,環中東路二段
站前新銳,23000元,青心路
內壢全新廠辦園區I4,64200元,中園路
站前新銳微型商辦,23800元,青心路
站前新銳2房車,26000元,青心路
站前新銳景觀2房車,25000元,青心路
青埔高鐵溫馨2房,23000元,青雲路
內壢全新廠辦園區F1,108800元,中園路
內壢全新廠辦園區G4,75600元,中園路
內壢全新廠辦園區4樓,672700元,中園路
溫馨套房 便宜租,7000元,廈門街
青埔高鐵優質套房,18500元,高鐵北路二段
新識界坡道2車位可分租,7000元,嘉興二街
內壢全新廠辦園區J4,66500元,中園路
青璞匯高樓景觀套房,23000元,高鐵南路二段
內壢交流道鋼骨廠房403坪,160000元,中園路二段
青埔A19精美2房車,22000元,永泰路
=醒目=青埔近捷運正20米路土地出租,161000元,桃園市中壢區領航北路
中山路一樓金店面,35000元,中山路
專任青埔高樓層套房車,23800元,領航北路二段
中悅ITC豪華商辦,160000元,領航南路三段
中壢過嶺大清劍橋大4房,25000元,松仁路
"""青埔景觀優質3房""",28000元,致遠一路
新銳事務所,20000元,青心路
內壢全新廠辦園區E1,95200元,中園路
內壢全新廠辦園區B4,69300元,中園路
【神馬】站前新銳邊間大3房車大棟距,31000元,青心路
青埔站前新銳兩房車(租),25000元,青心路
西園路工廠廠辦,360000元,西園路
蜜蜂 桃園中壢車站大四房美透天,28500元,天祥三街
晨光「獨家」中壢普忠路小坪數乙工,120000元,桃園市中壢區普忠路217巷
青埔近高鐵站精緻裝潢2房車,35000元,高鐵站前西路一段
青埔世界極精美套房,19000元,高鐵北路二段
中壢林森溫馨套房,9000元,林森路
近內壢交流道廠辦僅租不賣,280000元,中園路二段
(可租補)近夜市中壢大空間四房車,29000元,民權路
青埔A18站前新銳2房車,23800元,青心路
租內壢交流道全新廠辦,82539元,中園路
The Nexus 新識界廠辦,84000元,廣州路
中原大潤發新識界商辦雙車位(車可分租),88000元,廣州路
國際之星大套房,17000元,環北路
冠世界美裝潢三房平面車位,30000元,中園路
時尚苑2房車,25800元,青峰路二段
京懋睿和景觀三房車,70000元,領航南路三段
禾林RICH ONE 管理超優社區含雙車位,50000元,青商路
內壢交流道-全新廠辦,100000元,中園路
青埔A18站前新銳2房車,26000元,青心路
青埔A18站前新銳2房車,25000元,青心路
⭐中壢925乙工廠房⭐,700000元,後興路一段
租內壢交流道全新廠辦,90153元,中園路
青埔A18站前新銳2房車,30000元,青心路
過嶺天耀1+1樓賺錢金店面,39000元,松智路
環中商圈內壢星巴克套房,6080元,環中東路
中壢A22新明市場商圈整層商辦大樓~附平面車位,49900元,中正路
青埔2+1房,28000元,領航南路二段
青埔A18全新附傢俱大兩房雙衛浴+車位,25000元,致遠一路
＊青埔高鐵優質３房＊,32000元,青峰路二段
阿華~青埔新潤A18全配優質裝潢2改1房含車管網路,24000元,春德路
中壢工業區-挑高廠房,380000元,新北園路
中壢正市區近火車站商業辦公室店面,29800元,中山路
青埔中悅ITC｜室內70坪頂級商辦,185000元,領航南路三段
青埔時尚苑三房車位,35000元,青峰路二段
新識界大坪數商辦含車位,84000元,廣州路
京懋睿和二房車,55000元,領航南路三段
青埔A18站前新銳精美2房車,26000元,青心路
站前新銳事務所,20000元,青心路
青埔A18站前新銳精美2房車,25500元,青心路
租內壢交流道全新廠辦,89000元,中園路
中壢站前商圈透店,120000元,中正路
阿華~青埔高鐵A18面公園邊間優質套房,19000元,高鐵北路二段
依莎美學精美大空間附車位,33000元,新中二街
近中原夜市套房Ｃ室,6500元,三和二街
A18高鐵站前二房車,24000元,青心路
♥️青埔A19丰城掬翠全新2房車♥️,22000元,圓光路
阿華~青埔高鐵A18世界極優質套房可租補,16000元,高鐵北路二段
*中壢精美2房*,23000元,松仁路
*青埔高鐵精美3房*,31500元,春德路
青埔高鐵精緻3房車,31000元,青溪路一段
星鑽美裝三房車位,45000元,七和一街
青埔永麗花園美商辦,39000元,青境路
中壢SOGO旁｜轉角大面寬透天適補習班、咖啡廳餐飲,65000元,興隆街
中壢高中/古華飯店/分租套房,5600元,民權路二段
青埔近高鐵站金融美商辦,70000元,高鐵站前西路一段
自租~中壢青埔~站前新銳2房車,25800元,青心路
租內壢交流道全新廠辦,91818元,中園路
青埔A18站前新銳景觀3房車,36000元,青心路
青埔國際金融雙星溫馨2房車,40000元,高鐵站前西路一段
正中壢工業區一樓廠辦 桃園土地仲介,360000元,西園路
實踐路大空間好運用含車位,36000元,實踐路
坪婉平推薦~中壢工業區出租一樓廠區480坪,360000元,西園路
青埔精美風1房,24000元,春德路
青埔優質大3房,32000元,領航北路二段
推薦★高鐵溫馨兩房車位,25500元,青心路
內壢交流道附近廠房,160000元,中園路二段
中壢大坪數廠辦出租,120000元,中正路四段
出租~青埔A18青郎社區2房車,25000元,青埔四街
A18站前新銳事務所,24000元,青心路
青埔A18站前新銳2房車,26000元,青心路
租內壢交流道全新廠辦,85572元,中園路
青埔a19美套房,8200元,高鐵南路二段
青埔近高鐵站大三房附傢俱,30000元,青商路
桃園中壢青埔電梯兩房車,25000元,青埔四街
A19全新3房平車★誠可議價★含管理費含汽車清潔費,32000元,文明街
阿華~青埔高鐵A18高質感3房車可租補,34000元,領航南路三段
中壢工業區新穎大面寬廠辦,296000元,中福路二段
阿華~A19青埔4房雙車位景觀戶可寵物,40000元,領航南路一段
中壢永能路優質2房,23000元,永能路
青埔英倫三房有車位,23000元,領航南路四段
可看屋＊近中壢火車站,10500元,中平路
海華高樓採光三房車位,25800元,慈惠三街
站前新銳夢想起飛基地,30000元,青心路
丰城掬翠２房車位可養寵,18000元,圓光路
青埔A18國家大院2房車,24000元,青峰路一段
青埔高鐵優質3房,28000元,永泰路
青埔近高鐵優質兩房,26000元,高鐵站前東路一段
青埔站前辦公室美屋附車位,26000元,青心路
桃園中壢大江工業園區廠房,270600元,內定二十街
中壢工業區-分租廠登RC氣派廠房,820000元,東園路
青埔A18站前新銳二房車,25000元,青心路
環西路辦公室商辦(二),114000元,環西路
環西路辦公室商辦(一),117000元,環西路
*青埔精緻3房*,33000元,青心路
華~高鐵A18優質2房1廳1衛全配含車管,27000元,高鐵站前東路一段
新京站明亮一房一廳附車位,23000元,高鐵站前東路一段
陽光麗墅大透天,23000元,福嶺路二段
青埔A18站前新銳2房車,26000元,青心路
阿華~✨高鐵A18✨青埔站前優質3房含車管,30000元,青雲路
A18高鐵威均天翔超大商辦,78000元,領航南路三段
中壢精緻3房,25000元,永強街
近中壢挑高鋼構廠房(A),250000元,中園路二段
小芸熱推~專任潮+2樺龍2房2廳2衛,25000元,高鐵南路五段
青埔A18站前新銳2房車,26000元,青心路
青埔A18站前新銳2房車,23500元,青心路
青埔A18站前新銳3房車,33000元,青心路
環西路辦公室(三),114000元,環西路
站前新銳精裝2房車全配,28000元,青心路
青埔高鐵A18站前稀有桃大允三房車,45000元,領航北路三段
*青埔精美三房*,30000元,領航南路二段
阿華~青埔A19高樓層華麗裝潢3房車全配,41000元,文智路
*青埔高鐵精緻2房*,21000元,青峰路一段
青埔A19北歐風優質超大3房,75000元,領航北路二段
青埔高鐵優質2房,28000元,青峰路一段
青埔高鐵前【國家大院】清新美兩房｜車位傢俱家電全配,23000元,青峰路一段
青埔高鐵【國家大院】清新美兩房｜車位傢俱家電全配,23000元,青峰路一段
⭐中壢480工業區廠房⭐,360000元,西園路
全新3房★誠可議價★A19站★棒球場★租金含管理費,30000元,文明街
高鐵站★國際金融雙星★指標商辦,95000元,高鐵站前西路一段
中美路發財大空間,70000元,中美路一段
近高鐵站前新銳景觀辦公室,30000元,青心路
✈青埔A18✈景觀3+1房車全配,58000元,青境路
威均晶鑽2F出租,410053元,高鐵南路二段
青埔A18站前新銳2房車,25800元,青心路
青埔A18站前新銳事務所,25000元,青心路
青埔A18 2房.可租補,28000元,青溪路
威均晶鑽337號出租3F,176778元,高鐵南路二段
青埔高鐵站前新銳,25000元,青心路
中壢市中心✨SOGO旁✨機能完善~台水電陽台大套~,14500元,環北路
青埔高鐵站前A+裝潢2房車全配,25500元,青雲路
明日朗朗兩房車,22500元,永泰路
高鐵站威均天翔優質商辦,61000元,領航南路三段
青埔高鐵輕裝潢3房,25000元,領航南路二段
青埔高鐵高樓景觀精裝三房,32000元,青峰路一段
中壢工業區整棟廠房出租~中信房屋黃昭翰,1200000元,北園路
近青埔高鐵站捷運站過嶺3房平面車,25000元,松勤路
青埔A18國際金融核心商辦,75000元,桃園市高鐵站前西路
永麗花園3＋1房,38000元,青境路
威均晶鑽337號出租4F,142668元,高鐵南路二段
青埔A18站前新銳事務所可租車,21500元,青心路
威均晶鑽337號出租2F,353556元,高鐵南路二段
竹風青庭景觀2＋1,32000元,領航北路一段
內壢電梯大樓兩房車位庭院戶含管,25000元,興仁路二段
青埔金融雙星核心商辦,38000元,高鐵站前西路一段
青埔A18站前新銳事務所,23500元,青心路
威均晶鑽3F出租,410053元,高鐵南路二段
世界極兩房雙衛浴平面車位,29000元,高鐵北路二段
【豐禾】(租)青埔高鐵站前三房車,37000元,青商路
【新夢想】杭州麗緻漂亮3房車,31000元,徐州街
站前新銳高樓層3房車(C棟),35000元,青心路
青埔國際金融雙星2房車,34000元,桃園市高鐵站前西路
中壢環中東路店鋪,50000元,環中東路
近成功市場透天,38000元,成功路
租--正工業區-交流道旁-挑高廠房,380000元,新北園路
青埔精選大坪數3房,32000元,領航北路二段
國際高鐵雙子星大平面空間,160000元,高鐵南路二段
國家大院2房車,26000元,青峰路一段
雯雯 「桃園中壢SOGO黃金店面」,45000元,環北路
*青埔A19優質商辦*,181000元,高鐵南路二段
青埔高鐵站前機能齊全商辦用,95000元,高鐵站前西路一段
青埔高鐵優質商辦,112500元,高鐵站前西路一段
中壢夜市王三角金店面,78000元,新明路
中壢好市多廠房(有貨梯、天車),240000元,民族路六段
專任｜內壢環中商圈｜質感三房車,28000元,環中東路
青埔A18全新三房車,28000元,青商路
A19璟都HOME1二房車,26000元,永園路
國家大院2房車,26000元,青峰路一段
青埔A19捷運.丰城掬翠全新三房,29000元,圓光路
青埔優質超大3房,32000元,領航北路二段
青埔Ａ１９旁三房車位,37000元,文智路
近內壢國中美透天,47500元,復華街
新銳2房車,25000元,青心路
站前新銳夢想起飛基地,18000元,青心路
阿華~青埔高鐵A18精美裝潢景觀戶3房車,32000元,青商路
青埔優質住商大樓,200000元,領航南路三段
可寵＊大露臺近高鐵三房,33000元,領航南路二段
近內壢交流道挑高倉庫廠,180000元,中園路二段
高鐵站前高級商辦,60000元,高鐵站前西路一段
國際高鐵金融雙星,35000元,高鐵站前西路一段
A19全新3房雙車★誠可議價★含管理費含汽車清潔費,35000元,文明街
近高鐵青埔精美3房,36000元,青峰路一段
青埔高鐵精美2房,26000元,青心路
青埔A19優質商辦,212000元,高鐵南路二段
站前新鋭景觀二房車,26000元,青心路
青埔A18站前新銳2房車,25000元,青心路
高鐵站前全新美裝潢兩房車出租,27000元,青心路
*青埔A19優質商辦大樓*,61000元,領航南路三段
日勝新京站,26000元,高鐵站前東路一段
內壢全新廠辦園區D1,117300元,中園路
國際高鐵站前商辦,34000元,高鐵站前西路
桃園高鐵站前金融商辦,34000元,高鐵站前西路
站前新銳夢想起飛基地,18500元,青心路
青埔A18景觀3房,29500元,春德路
中壢火車站一樓大面寬店住,32000元,中台路
金融雙星裝潢景觀戶,34000元,高鐵站前西路
威均天翔2＋1房車,26000元,領航南路三段
中壢❤️新生路❤️近A22一樓金店面,65000元,新生路
青埔新京站精美2房,30000元,高鐵站前東路一段
【玖禾】【租】站前廣場A18商辦出租,34000元,高鐵站前西路一段
青埔A18精美3房,29000元,春德路
威均晶鑽1F出租,670000元,高鐵南路二段
青埔高鐵精緻2房,24800元,領航南路一段
青埔國際金融雙星商辦,35000元,高鐵站前西路一段
超級郡溫馨兩房車位,24800元,松信路
中美路二段商辦,200000元,中美路二段
青埔新潤Ａ１８三房,29000元,春德路
中壢中原夜市體育園區稀有透天店面,50000元,中山東路二段
青埔A18｜全新站前新銳2房車家具可談,25000元,青心路
